DBA_Name,Batch_ID,PL_Lambda_max,absorbance_peak,SO,T80,SO*T80,NumRotatableBonds,NumHeteroatoms,TDOS2.5,TDOS3.9
DB_04_A_078,,,,,,,3,6,1.74000348,4.784428991
DB_04_A_079,,,,,,,6,3,1.640026302,2.523456935
DB_04_A_080,,,,,,,3,8,1.770494243,3.051657408
DB_04_A_081,,,,,,,3,5,1.805423317,3.449254455
DB_04_A_082,,,,,,,4,6,1.995647668,4.808921344
DB_04_A_083,,,,,,,6,4,2.014062759,6.186088048
DB_04_A_084,,,,,,,4,6,1.775853222,4.434340161
DB_04_A_085,,,,,,,5,7,1.753601635,3.31480179
DB_04_A_086,,,,,,,7,6,1.976844837,2.92451794
DB_04_A_087,,,,,,,5,3,1.948845245,2.564877889
DB_04_A_088,,,,,,,5,5,2.034970198,3.569626469
DB_04_A_089,,,,,,,11,3,1.954837089,2.60507381
DB_04_A_090,,,,,,,7,6,1.665430786,4.293001699
DB_04_A_091,,,,,,,4,3,1.682319885,3.968825068
DB_04_A_092,,,,,,,7,6,1.99938526,4.217547059
DB_04_A_093,,,,,,,5,5,1.965175657,3.259601007
DB_04_A_094,,,,,,,8,10,1.802639162,3.092429542
DB_04_A_095,,,,,,,6,7,1.338551973,3.535115755
DB_04_A_096,,,,,,,3,5,1.888398364,6.424255637
DB_04_A_097,,,,,,,10,8,3.992377573,6.6247092
DB_04_A_098,,,,,,,4,5,1.777807825,2.817142048
DB_04_A_099,,,,,,,6,6,1.868931941,3.143286897
DB_04_A_100,,,,,,,3,4,1.77174739,5.507267531
DB_05_A_001,,,,,,,6,6,1.592395804,6.838475772
DB_05_A_003,,,,,,,5,4,0.000230849,1.700608403
DB_05_A_004,,,,,,,2,2,0.000970191,2.142430386
DB_05_A_005,,,,,,,4,7,0.000595295,1.551044692
DB_05_A_006,,,,,,,5,5,0.00029517,4.24328089
DB_05_A_007,,,,,,,3,4,0.000388619,3.117712219
DB_05_A_008,,,,,,,4,7,0.75045448,6.280332897
DB_05_A_009,,,,,,,5,3,0.001971007,2.561915165
DB_05_A_010,,,,,,,5,9,0.000753518,5.88282356
DB_05_A_011,,,,,,,3,4,0.043505042,1.648645208
DB_05_A_012,,,,,,,8,3,0.000332962,4.835737575
DB_05_A_013,,,,,,,2,4,0.000568271,4.903193074
DB_05_A_014,,,,,,,4,4,0.000214523,2.338939877
DB_05_A_015,,,,,,,5,4,0.000377743,2.929821145
DB_05_A_016,,,,,,,2,1,0.000414648,2.25621263
DB_05_A_017,,,,,,,3,8,1.792551881,4.777007342
DB_05_A_018,,,,,,,4,5,0.000383258,1.705438971
DB_05_A_019,,,,,,,4,7,0.004284656,1.169032256
DB_05_A_020,,,,,,,5,6,0.000376486,4.078679678
DB_05_A_021,,,,,,,8,8,0.001007865,4.406615715
DB_05_A_022,,,,,,,7,6,0.66581659,6.702120831
DB_05_A_023,,,,,,,4,4,0.024681009,2.923866685
DB_05_A_024,,,,,,,4,4,0.001562919,4.39915658
DB_05_A_025,,,,,,,4,4,0.000730843,2.812491262
DB_05_A_026,,,,,,,5,7,0.00064076,5.155292565
DB_05_A_027,,,,,,,3,1,0.92373659,8.41236348
DB_05_A_028,,,,,,,2,4,0.774639128,4.958403131
DB_05_A_029,,,,,,,2,2,0.006863757,0.487630309
DB_05_A_030,,,,,,,8,3,0.000780152,2.797865836
DB_05_A_031,,,,,,,6,3,0.000946507,3.821517053
DB_05_A_032,,,,,,,2,3,0.001119268,1.930278248
DB_05_A_033,,,,,,,6,6,0.000237081,2.145420017
DB_05_A_034,,,,,,,3,1,0.975571705,5.481255053
DB_05_A_035,,,,,,,4,4,0.000964803,2.741971566
DB_05_A_036,,,,,,,7,9,0.00026322,1.565250007
DB_05_A_037,,,,,,,5,5,0.000505921,2.012397725
DB_05_A_038,,,,,,,3,5,0.000524041,3.497233146
DB_05_A_039,,,,,,,2,4,0.000819838,2.468254007
DB_05_A_040,,,,,,,2,1,0.00928832,2.127246813
DB_05_A_041,,,,,,,3,6,0.793981849,1.034261878
DB_05_A_042,,,,,,,4,5,0.706703931,4.545060513
DB_05_A_043,,,,,,,3,4,0.000631358,6.27482353
DB_05_A_044,,,,,,,2,5,0.00471862,0.916491251
DB_05_A_045,,,,,,,2,1,1.295421632,4.976259309
DB_05_A_046,,,,,,,6,2,0.000410225,4.161995108
DB_05_A_047,,,,,,,2,2,0.004782705,0.51621283
DB_05_A_048,,,,,,,2,4,0.001181118,2.761545399
DB_05_A_049,,,,,,,4,6,0.000715734,1.901625653
DB_05_A_050,,,,,,,2,4,0.000210943,3.62804531
DB_05_A_051,,,,,,,3,6,0.000348174,2.16852354
DB_05_A_052,,,,,,,5,4,0.000415708,2.706624783
DB_05_A_053,,,,,,,4,5,0.000440237,2.335931869
DB_05_A_054,,,,,,,5,5,0.000368274,1.087254064
DB_05_A_055,,,,,,,2,5,0.000219314,3.245311039
DB_05_A_056,,,,,,,2,3,0.01738623,2.345511654
DB_05_A_057,,,,,,,3,7,0.000816418,7.124075492
DB_05_A_058,,,,,,,3,5,0.022413822,5.597260152
DB_05_A_059,,,,,,,5,4,0.000573224,2.232528647
DB_05_A_060,,,,,,,2,6,0.000281373,3.573680493
DB_05_A_061,,,,,,,3,5,0.098565929,2.340984854
DB_05_A_062,,,,,,,3,8,0.000392269,3.368501214
DB_05_A_063,,,,,,,3,3,0.007466766,2.764465553
DB_05_A_064,,,,,,,3,2,0.000403266,2.140248321
DB_05_A_065,,,,,,,4,4,0.000787851,3.563284106
DB_05_A_066,,,,,,,4,4,0.060115588,2.472497629
DB_05_A_067,,,,,,,7,5,0.000387573,2.402326333
DB_05_A_068,,,,,,,5,8,0.0006053,6.116941354
DB_05_A_069,,,,,,,2,4,0.003456868,2.864503554
DB_05_A_070,,,,,,,4,4,0.000272118,2.125325151
DB_05_A_071,,,,,,,2,4,0.000549876,1.229067126
DB_05_A_072,,,,,,,5,5,8.67E-05,3.173621605
DB_05_A_074,,,,,,,2,6,0.000542239,3.306298496
DB_05_A_075,,,,,,,6,6,0.000810984,3.311464884
DB_05_A_076,,,,,,,7,2,0.000725334,1.757145066
DB_05_A_077,,,,,,,6,6,0.000995996,1.684424026
DB_05_A_078,,,,,,,2,4,0.000389566,2.613627287
DB_05_A_079,,,,,,,5,1,0.000415283,1.571927398
DB_05_A_080,,,,,,,2,6,0.014533888,1.007211815
DB_05_A_081,,,,,,,2,3,0.000721543,2.851426664
DB_05_A_082,,,,,,,3,4,0.000250552,4.014197387
DB_05_A_083,,,,,,,5,2,0.000819444,4.833790025
DB_05_A_084,,,,,,,3,4,0.000252666,2.833990965
DB_05_A_085,,,,,,,4,5,0.001181505,2.46460154
DB_05_A_086,,,,,,,6,4,0.000253796,2.114591913
DB_05_A_087,,,,,,,4,1,0.000294738,2.148720864
DB_05_A_088,,,,,,,4,3,0.226891381,2.885080494
DB_05_A_090,,,,,,,6,4,0.000552033,3.042299218
DB_05_A_091,,,,,,,3,1,0.00053906,3.088193711
DB_05_A_092,,,,,,,6,4,0.00045139,3.248130627
DB_05_A_093,,,,,,,4,3,0.00072034,2.54473356
DB_05_A_094,,,,,,,7,8,0.000984145,1.999686114
DB_05_A_095,,,,,,,5,5,0.000636405,2.859206944
DB_05_A_096,,,,,,,2,3,0.060089232,4.020877504
DB_05_A_097,,,,,,,9,6,1.985252336,6.840522509
DB_05_A_098,,,,,,,3,3,0.000340272,1.869739055
DB_05_A_099,,,,,,,5,4,0.000527267,2.010174833
DB_05_A_100,,,,,,,2,2,0.00100391,3.876607714
DB_06_A_001,,,,,,,6,6,1.6521124,6.715314013
DB_06_A_003,,,,,,,5,4,0.001683567,2.005560912
DB_06_A_004,,,,,,,2,2,0.004412081,2.052933995
DB_06_A_005,,,,,,,4,7,0.080706216,2.17023736
DB_06_A_006,,,,,,,5,5,0.001798351,4.109102142
DB_06_A_007,,,,,,,3,4,0.001472165,3.184733326
DB_06_A_008,,,,,,,4,7,0.823562449,4.97957481
DB_06_A_009,,,,,,,5,3,0.006979248,2.636046551
DB_06_A_010,,,,,,,5,9,0.002477137,5.618502643
DB_06_A_011,,,,,,,3,4,0.046290107,1.717367356
DB_06_A_012,,,,,,,8,3,0.003673428,4.071258323
DB_06_A_013,,,,,,,2,4,0.005574107,4.920567642
DB_06_A_014,,,,,,,4,4,0.00212464,2.214549202
DB_06_A_015,,,,,,,5,4,0.004157276,2.817005176
DB_06_A_016,,,,,,,2,1,0.001191103,2.113014912
DB_06_A_017,,,,,,,3,8,1.698091534,4.661534634
DB_06_A_018,,,,,,,4,5,0.00814022,1.983007097
DB_06_A_019,,,,,,,4,7,0.132560369,2.979663383
DB_06_A_020,,,,,,,5,6,0.004365699,4.12459413
DB_06_A_021,,,,,,,8,8,0.025213417,4.613530762
DB_06_A_022,,,,,,,7,6,0.70113708,5.280334047
DB_06_A_023,,,,,,,4,4,0.031582423,2.773935754
DB_06_A_024,,,,,,,4,4,0.000524483,4.087672135
DB_06_A_025,,,,,,,4,4,0.004792341,3.05581461
DB_06_A_026,,,,,,,5,7,0.012970066,5.176977012
DB_06_A_027,,,,,,,3,1,0.917929333,7.849946147
DB_06_A_028,,,,,,,2,4,0.915282327,6.119075014
DB_06_A_029,,,,,,,2,2,0.1564036,0.759509154
DB_06_A_030,,,,,,,8,3,0.003162332,2.748667946
DB_06_A_031,,,,,,,6,3,0.017315301,4.177796274
DB_06_A_032,,,,,,,2,3,0.007936854,1.93763265
DB_06_A_033,,,,,,,6,6,0.002612978,2.144478747
DB_06_A_034,,,,,,,3,1,0.965720484,5.950159254
DB_06_A_035,,,,,,,4,4,0.004572505,2.784310872
DB_06_A_036,,,,,,,7,9,0.000389764,1.612325336
DB_06_A_037,,,,,,,5,5,0.002235389,2.021137167
DB_06_A_038,,,,,,,3,5,0.01163133,3.3697594
DB_06_A_039,,,,,,,2,4,0.005629075,2.459839282
DB_06_A_040,,,,,,,2,1,0.030389394,2.010054108
DB_06_A_041,,,,,,,3,6,1.009274851,1.597142674
DB_06_A_042,,,,,,,4,5,1.323616639,4.207430442
DB_06_A_043,,,,,,,3,4,0.002937094,6.253888861
DB_06_A_044,,,,,,,2,5,0.060778611,0.66940348
DB_06_A_045,,,,,,,2,1,1.245164934,5.020477397
DB_06_A_046,,,,,,,6,2,0.00688981,4.140770011
DB_06_A_047,,,,,,,2,2,0.109126904,1.327544451
DB_06_A_048,,,,,,,2,4,0.014786099,3.26899569
DB_06_A_050,,,,,,,2,4,0.002112977,3.191781034
DB_06_A_051,,,,,,,3,6,0.005905059,2.108726513
DB_06_A_052,,,,,,,5,4,0.002375692,2.794250145
DB_06_A_053,,,,,,,4,5,0.009730513,2.346120718
DB_06_A_054,,,,,,,5,5,0.000476027,1.634956762
DB_06_A_055,,,,,,,2,5,0.003829122,3.212649595
DB_06_A_056,,,,,,,2,3,0.016918224,2.358489687
DB_06_A_057,,,,,,,3,7,0.011297835,5.312351872
DB_06_A_058,,,,,,,3,5,0.025293119,5.391558033
DB_06_A_059,,,,,,,5,4,0.003724666,2.243169724
DB_06_A_060,,,,,,,2,6,0.006101604,3.16491823
DB_06_A_061,,,,,,,3,5,0.090721184,2.589937751
DB_06_A_062,,,,,,,3,8,0.005594266,3.382021962
DB_06_A_063,,,,,,,3,3,0.016718185,2.713834903
DB_06_A_064,,,,,,,3,2,0.004418782,2.528432378
DB_06_A_065,,,,,,,4,4,0.003955253,3.741857293
DB_06_A_066,,,,,,,4,4,0.014527579,2.455901853
DB_06_A_067,,,,,,,7,5,0.005420822,2.654913285
DB_06_A_068,,,,,,,5,8,0.003699507,6.016187204
DB_06_A_069,,,,,,,2,4,0.092726057,1.790322333
DB_06_A_070,,,,,,,4,4,0.004681398,2.145334968
DB_06_A_071,,,,,,,2,4,0.0092649,1.218906135
DB_06_A_072,,,,,,,5,5,0.000260545,2.871642308
DB_06_A_073,,,,,,,9,2,0.00135497,2.044829673
DB_06_A_074,,,,,,,2,6,0.005801633,3.276846683
DB_06_A_075,,,,,,,6,6,0.004628159,3.404769621
DB_06_A_076,,,,,,,7,2,0.000866308,1.805660264
DB_06_A_077,,,,,,,6,6,0.022046128,1.480802346
DB_06_A_078,,,,,,,2,4,0.006719204,3.10460742
DB_06_A_079,,,,,,,5,1,0.000474703,1.489697757
DB_06_A_080,,,,,,,2,6,0.248184778,0.649792851
DB_06_A_081,,,,,,,2,3,0.002545908,2.655984806
DB_06_A_082,,,,,,,3,4,0.001948544,3.911844555
DB_06_A_083,,,,,,,5,2,0.009483064,4.915984439
DB_06_A_084,,,,,,,3,4,0.000516748,2.74746726
DB_06_A_085,,,,,,,4,5,0.003770116,2.246630986
DB_06_A_086,,,,,,,6,4,0.002201911,2.233808099
DB_06_A_087,,,,,,,4,1,0.004350316,2.147423302
DB_06_A_088,,,,,,,4,3,0.021087797,2.758024667
DB_06_A_089,,,,,,,10,1,0.002720005,2.141945901
DB_06_A_090,,,,,,,6,4,0.001434117,2.689328315
DB_06_A_091,,,,,,,3,1,0.00322484,3.122351209
DB_06_A_092,,,,,,,6,4,0.004308061,3.460665432
DB_06_A_093,,,,,,,4,3,0.00419799,2.603227379
DB_06_A_094,,,,,,,7,8,0.008867843,2.112846717
DB_06_A_095,,,,,,,5,5,0.001381185,2.703736614
DB_06_A_096,,,,,,,2,3,0.106138428,3.527389458
DB_06_A_097,,,,,,,9,6,1.988447974,6.762541905
DB_06_A_098,,,,,,,3,3,0.003373404,2.011864541
DB_06_A_099,,,,,,,5,4,0.001373043,2.214283383
DB_06_A_100,,,,,,,2,2,0.006348648,4.043191731
DB_07_A_001,,,,,,,6,7,1.761153667,6.025538316
DB_07_A_002,,,,,,,13,3,0.046477382,2.930190779
DB_07_A_003,,,,,,,5,5,0.000526567,1.896567931
DB_07_A_004,,,,,,,2,3,0.008921034,1.876942302
DB_07_A_005,,,,,,,4,8,0.00142669,1.389557365
DB_07_A_006,,,,,,,5,6,0.004513479,5.657729813
DB_07_A_007,,,,,,,3,5,0.008164091,3.294545026
DB_07_A_008,,,,,,,4,8,0.876835344,6.4588157
DB_07_A_009,,,,,,,5,4,0.01194239,2.298080534
DB_07_A_010,,,,,,,5,10,0.009050723,8.094536802
DB_07_A_011,,,,,,,3,5,0.200597922,4.681489972
DB_07_A_012,,,,,,,8,4,0.006201408,4.624222585
DB_07_A_013,,,,,,,2,5,0.050321536,5.407471288
DB_07_A_014,,,,,,,4,5,0.010175748,3.615497342
DB_07_A_015,,,,,,,5,5,0.00683043,3.478477349
DB_07_A_016,,,,,,,2,2,0.000328035,2.482688343
DB_07_A_017,,,,,,,3,9,1.625015656,7.458890948
DB_07_A_018,,,,,,,4,6,0.027861432,2.76165512
DB_07_A_019,,,,,,,4,8,0.556415766,3.895702785
DB_07_A_020,,,,,,,5,7,0.025225451,5.619567471
DB_07_A_021,,,,,,,8,9,0.084488068,5.337384433
DB_07_A_022,,,,,,,7,7,0.415066062,6.203734463
DB_07_A_023,,,,,,,4,5,1.342979784,4.602031488
DB_07_A_024,,,,,,,4,5,0.001507235,3.852482078
DB_07_A_025,,,,,,,4,5,0.01833175,3.694077686
DB_07_A_026,,,,,,,5,8,0.111395721,7.200452889
DB_07_A_027,,,,,,,3,2,0.744006045,8.899624405
DB_07_A_028,,,,,,,2,5,0.657755431,5.818873111
DB_07_A_029,,,,,,,2,3,0.334572013,2.807608191
DB_07_A_030,,,,,,,8,4,0.000208125,3.132090411
DB_07_A_031,,,,,,,6,4,0.000809653,2.962001503
DB_07_A_032,,,,,,,2,4,0.299098619,3.893674826
DB_07_A_033,,,,,,,6,7,0.010511149,1.751837494
DB_07_A_034,,,,,,,3,2,0.832347085,7.140110693
DB_07_A_035,,,,,,,4,5,0.051629591,3.198227886
DB_07_A_036,,,,,,,7,10,0.000251465,3.000626134
DB_07_A_037,,,,,,,5,6,0.000781802,1.77139775
DB_07_A_038,,,,,,,3,6,0.134696027,4.890282989
DB_07_A_039,,,,,,,2,5,0.05892932,3.372319733
DB_07_A_040,,,,,,,2,2,0.153853408,2.584458381
DB_07_A_041,,,,,,,3,7,1.130504977,2.988226456
DB_07_A_042,,,,,,,4,6,0.824925966,6.315216498
DB_07_A_043,,,,,,,3,5,0.00043123,5.388900761
DB_07_A_044,,,,,,,2,6,0.666049955,3.842585577
DB_07_A_045,,,,,,,2,2,1.095257684,6.872464758
DB_07_A_046,,,,,,,6,3,0.009733934,3.926961473
DB_07_A_047,,,,,,,2,3,0.047059741,1.802616111
DB_07_A_048,,,,,,,2,5,0.025485239,4.996500003
DB_07_A_049,,,,,,,4,7,0.040099543,3.037526198
DB_07_A_050,,,,,,,2,5,0.000226723,3.406397198
DB_07_A_051,,,,,,,3,7,0.0151374,2.06761117
DB_07_A_052,,,,,,,5,5,0.017734602,2.730842454
DB_07_A_053,,,,,,,4,6,0.009830126,2.409180188
DB_07_A_054,,,,,,,5,6,0.000126549,3.133533262
DB_07_A_055,,,,,,,2,6,0.045896751,5.216121739
DB_07_A_056,,,,,,,2,4,0.644694579,3.574285144
DB_07_A_057,,,,,,,3,8,0.034751632,7.062061292
DB_07_A_058,,,,,,,3,6,0.398119688,8.369015479
DB_07_A_059,,,,,,,5,5,0.012702583,2.450226686
DB_07_A_060,,,,,,,2,7,0.007961188,3.959549476
DB_07_A_061,,,,,,,3,6,0.212592148,4.22282503
DB_07_A_062,,,,,,,3,9,0.014758843,4.9071776
DB_07_A_063,,,,,,,3,4,0.026184671,3.495152103
DB_07_A_064,,,,,,,3,3,0.012747785,2.271044388
DB_07_A_065,,,,,,,4,5,0.008017493,3.501347799
DB_07_A_066,,,,,,,4,5,0.748485636,4.452905704
DB_07_A_067,,,,,,,7,6,0.00939142,2.708009004
DB_07_A_068,,,,,,,5,9,0.010669847,5.447009303
DB_07_A_069,,,,,,,2,5,0.150695343,3.967077923
DB_07_A_070,,,,,,,4,5,0.010009443,1.704447532
DB_07_A_071,,,,,,,2,5,0.079352134,3.657736284
DB_07_A_072,,,,,,,5,6,0.001171009,3.345325692
DB_07_A_073,,,,,,,9,3,0.023264404,2.951900739
DB_07_A_074,,,,,,,2,7,0.014234873,3.316410929
DB_07_A_075,,,,,,,6,7,0.014310801,3.715029535
DB_07_A_076,,,,,,,7,3,6.81E-05,2.569245788
DB_07_A_077,,,,,,,6,7,0.216035443,3.74962776
DB_07_A_078,,,,,,,2,5,0.003791502,3.059319989
DB_07_A_079,,,,,,,5,2,0.000177242,3.478462201
DB_07_A_080,,,,,,,2,7,0.351284443,3.303350312
DB_07_A_081,,,,,,,2,4,0.08946253,2.40556549
DB_07_A_082,,,,,,,3,5,0.00449276,3.754305612
DB_07_A_083,,,,,,,5,3,0.104787854,6.688730738
DB_07_A_084,,,,,,,3,5,0.000247947,4.26600173
DB_07_A_085,,,,,,,4,6,0.014836716,3.061208758
DB_07_A_086,,,,,,,6,5,0.011159668,2.174253631
DB_07_A_087,,,,,,,4,2,0.011604874,1.750278806
DB_07_A_088,,,,,,,4,4,0.738301696,4.455302837
DB_07_A_089,,,,,,,10,2,0.010724879,1.881564298
DB_07_A_090,,,,,,,6,5,0.016565661,4.430308141
DB_07_A_091,,,,,,,3,2,0.003068431,3.181304529
DB_07_A_092,,,,,,,6,5,0.009172448,3.607296789
DB_07_A_093,,,,,,,4,4,0.012781181,2.381489601
DB_07_A_094,,,,,,,7,9,0.043368931,2.47224658
DB_07_A_095,,,,,,,5,6,0.009570152,3.098251404
DB_07_A_096,,,,,,,2,4,0.688404627,6.134145671
DB_07_A_097,,,,,,,9,7,2.003102206,6.119290952
DB_07_A_098,,,,,,,3,4,0.033453133,2.53365545
DB_07_A_099,,,,,,,5,5,0.021693404,3.037047001
DB_07_A_100,,,,,,,2,3,0.120636069,5.88186473
DB_08_A_001,,,,,,,6,7,2.132191338,5.246684357
DB_08_A_002,,,,,,,13,3,0.219114083,2.161004819
DB_08_A_003,,,,,,,5,5,0.066093518,2.745379641
DB_08_A_004,,,,,,,2,3,1.037896325,1.599770315
DB_08_A_005,,,,,,,4,8,1.447863945,1.688627677
DB_08_A_006,,,,,,,5,6,0.188051716,5.989116268
DB_08_A_007,,,,,,,3,5,0.265190572,3.125021879
DB_08_A_008,,,,,,,4,8,0.470720051,5.863146725
DB_08_A_009,,,,,,,5,4,0.696523292,2.007019904
DB_08_A_010,,,,,,,5,10,0.1870803,7.388685515
DB_08_A_011,,,,,,,3,5,1.541633359,2.7432331
DB_08_A_012,,,,,,,8,4,0.586270523,4.631295103
DB_08_A_013,,,,,,,2,5,1.449086654,5.027500666
DB_08_A_014,,,,,,,4,5,0.678259384,3.048330335
DB_08_A_015,,,,,,,5,5,0.439050811,3.62530742
DB_08_A_016,,,,,,,2,2,0.182511331,2.973882858
DB_08_A_017,,,,,,,3,9,3.105922703,5.206957677
DB_08_A_019,,,,,,,4,8,1.669378302,2.126847526
DB_08_A_020,,,,,,,5,7,0.467186044,5.049729452
DB_08_A_021,,,,,,,8,9,1.102111294,4.812203293
DB_08_A_022,,,,,,,7,7,0.291541614,6.758771285
DB_08_A_023,,,,,,,4,5,0.753617893,4.111237562
DB_08_A_024,,,,,,,4,5,0.031396154,5.138695855
DB_08_A_025,,,,,,,4,5,1.280752827,3.697360195
DB_08_A_026,,,,,,,5,8,1.244949617,5.991924247
DB_08_A_027,,,,,,,3,2,0.831946763,9.45534724
DB_08_A_028,,,,,,,2,5,1.158507484,5.444421683
DB_08_A_029,,,,,,,2,3,1.988086086,0.983461941
DB_08_A_030,,,,,,,8,4,0.379429337,2.736485026
DB_08_A_031,,,,,,,6,4,0.870666822,3.528647646
DB_08_A_032,,,,,,,2,4,1.301630914,3.448084894
DB_08_A_033,,,,,,,6,7,0.705721128,1.382830378
DB_08_A_035,,,,,,,4,5,1.468186637,2.38532927
DB_08_A_036,,,,,,,7,10,0.050843393,3.186213781
DB_08_A_037,,,,,,,5,6,0.422085532,2.147239665
DB_08_A_038,,,,,,,3,6,0.617293065,4.096634272
DB_08_A_039,,,,,,,2,5,1.318360321,2.613403553
DB_08_A_040,,,,,,,2,2,1.32513002,2.727202337
DB_08_A_041,,,,,,,3,7,2.375324059,1.72910555
DB_08_A_042,,,,,,,4,6,0.839000393,4.905850242
DB_08_A_043,,,,,,,3,5,0.31601455,3.583013639
DB_08_A_044,,,,,,,2,6,1.962794543,2.762171583
DB_08_A_045,,,,,,,2,2,1.509152249,5.780245611
DB_08_A_046,,,,,,,6,3,0.724067882,3.710412829
DB_08_A_047,,,,,,,2,3,1.939578288,0.741590776
DB_08_A_048,,,,,,,2,5,1.232436576,3.619254223
DB_08_A_049,,,,,,,4,7,0.489994984,1.724537644
DB_08_A_050,,,,,,,2,5,0.307009532,3.773600626
DB_08_A_051,,,,,,,3,7,0.768167284,1.592515661
DB_08_A_052,,,,,,,5,5,0.659624949,2.336672159
DB_08_A_053,,,,,,,4,6,0.735229584,2.209622939
DB_08_A_054,,,,,,,5,6,0.045641883,2.535008413
DB_08_A_055,,,,,,,2,6,0.389593123,3.987145337
DB_08_A_056,,,,,,,2,4,0.65706227,2.660119057
DB_08_A_057,,,,,,,3,8,0.896583434,4.548245124
DB_08_A_058,,,,,,,3,6,0.627891055,7.317220903
DB_08_A_059,,,,,,,5,5,0.665723401,2.204434847
DB_08_A_060,,,,,,,2,7,1.150206957,4.900262439
DB_08_A_061,,,,,,,3,6,1.419929352,2.908142041
DB_08_A_062,,,,,,,3,9,0.934702582,4.359845359
DB_08_A_063,,,,,,,3,4,0.706808958,3.249526968
DB_08_A_064,,,,,,,3,3,0.75545627,2.058112525
DB_08_A_065,,,,,,,4,5,0.698237157,3.577343318
DB_08_A_066,,,,,,,4,5,1.596136805,4.546157905
DB_08_A_067,,,,,,,7,6,1.441389784,2.452992625
DB_08_A_068,,,,,,,5,9,0.784520745,7.312672445
DB_08_A_069,,,,,,,2,5,1.707490977,3.52861287
DB_08_A_070,,,,,,,4,5,0.696043935,1.641750656
DB_08_A_071,,,,,,,2,5,0.84624002,2.320564232
DB_08_A_072,,,,,,,5,6,0.224676938,4.330491839
DB_08_A_073,,,,,,,9,3,0.645896364,2.220127508
DB_08_A_074,,,,,,,2,7,0.53557806,3.071446445
DB_08_A_075,,,,,,,6,7,1.246447554,2.561492193
DB_08_A_076,,,,,,,7,3,0.170631933,2.817855936
DB_08_A_077,,,,,,,6,7,1.188319604,2.919817157
DB_08_A_078,,,,,,,2,5,0.758003034,3.602892086
DB_08_A_079,,,,,,,5,2,0.03920102,2.859163898
DB_08_A_080,,,,,,,2,7,1.798450818,1.711331495
DB_08_A_081,,,,,,,2,4,0.308229793,3.253331664
DB_08_A_082,,,,,,,3,5,0.637806952,4.067586759
DB_08_A_083,,,,,,,5,3,1.62371578,5.784458219
DB_08_A_084,,,,,,,3,5,0.309668764,4.26076044
DB_08_A_085,,,,,,,4,6,0.259917293,3.467242404
DB_08_A_086,,,,,,,6,5,0.614235765,1.686475312
DB_08_A_087,,,,,,,4,2,1.306694635,1.384503019
DB_08_A_088,,,,,,,4,4,0.620610817,3.940599173
DB_08_A_089,,,,,,,10,2,1.044152021,1.286182846
DB_08_A_090,,,,,,,6,5,0.500584263,3.785783506
DB_08_A_091,,,,,,,3,2,0.161094426,3.880315215
DB_08_A_092,,,,,,,6,5,0.771658073,3.288030986
DB_08_A_093,,,,,,,4,4,0.798841294,1.920342316
DB_08_A_094,,,,,,,7,9,0.711915548,1.59179129
DB_08_A_095,,,,,,,5,6,0.036904877,3.745720577
DB_08_A_097,,,,,,,9,7,2.599231859,5.336071132
DB_08_A_098,,,,,,,3,4,1.538034639,1.288746883
DB_08_A_099,,,,,,,5,5,1.222082839,1.938843013
DB_08_A_100,,,,,,,2,3,1.484740396,5.318855013
DB_09_A_001,,,,,,,7,8,3.585488112,9.336047082
DB_09_A_003,,,,,,,6,6,1.90700679,5.187717128
DB_09_A_004,,,,,,,3,4,1.943250856,4.652078944
DB_09_A_005,,,,,,,5,9,1.815228072,4.466474745
DB_09_A_006,,,,,,,6,7,1.955564894,7.899685159
DB_09_A_007,,,,,,,4,6,1.989573013,5.533412862
DB_09_A_008,,,,,,,5,9,2.292833643,8.215191524
DB_09_A_009,,,,,,,6,5,1.969142407,5.154719455
DB_09_A_010,,,,,,,6,11,1.220759204,10.18718054
DB_09_A_011,,,,,,,4,6,2.019222961,4.549802334
DB_09_A_012,,,,,,,9,5,1.999534929,7.938630192
DB_09_A_013,,,,,,,3,6,1.970436544,7.821101199
DB_09_A_014,,,,,,,5,6,1.994054499,5.471016779
DB_09_A_015,,,,,,,6,6,1.99518811,6.361461098
DB_09_A_016,,,,,,,3,3,1.958464421,5.073762035
DB_09_A_017,,,,,,,4,10,4.80310426,7.636294926
DB_09_A_018,,,,,,,5,7,1.878151162,5.410156797
DB_09_A_019,,,,,,,5,9,1.469183213,3.639001865
DB_09_A_020,,,,,,,6,8,1.783386968,7.568010201
DB_09_A_021,,,,,,,9,10,2.026722804,7.393219852
DB_09_A_022,,,,,,,8,8,2.456646304,7.8905073
DB_09_A_023,,,,,,,5,6,2.022248473,5.912517549
DB_09_A_024,,,,,,,5,6,1.510345942,6.479022191
DB_09_A_025,,,,,,,5,6,2.007188872,6.350689549
DB_09_A_026,,,,,,,6,9,1.969829437,8.147568118
DB_09_A_027,,,,,,,4,3,2.437044806,13.82793256
DB_09_A_028,,,,,,,3,6,3.202184827,8.913936967
DB_09_A_029,,,,,,,3,4,1.35859983,3.58854304
DB_09_A_030,,,,,,,9,5,1.95750422,5.743232919
DB_09_A_031,,,,,,,7,5,1.852922847,6.346458581
DB_09_A_032,,,,,,,3,5,1.941852281,5.240227183
DB_09_A_033,,,,,,,7,8,1.874018254,4.433425237
DB_09_A_034,,,,,,,4,3,2.223106176,10.51938731
